year,estratopri,aoj21,colseg,ur,q1,q2,m1,trust,pr5,ideologia
2021.0,Pacífica,Delincuentes comunes,Peor,,,55.0,Negativa,,,
2021.0,Central,Guerrillas,Igual,,,27.0,Neutra,,,
2021.0,Bogotá,,,,,45.0,,,,
2021.0,Bogotá,,,,,36.0,,,,
2021.0,Atlántica,Crimen organizado,Peor,,,34.0,Positiva,,,Derecha
2021.0,Bogotá,Delincuentes comunes,Peor,,,38.0,Negativa,,,Centro izquierda
2021.0,Central,Delincuentes comunes,Peor,,,39.0,Negativa,,,Centro izquierda
2021.0,Central,,,,,30.0,,,,
2021.0,Central,Delincuentes comunes,Mejor,,,26.0,Neutra,,,Centro derecha
2021.0,Amazonia,Delincuentes comunes,Igual,,,55.0,Positiva,,,
2021.0,Bogotá,Crimen organizado,Peor,,,50.0,Neutra,,,
2021.0,Central,,,,,59.0,,,,
2021.0,Oriental,,,,,28.0,,,,
2021.0,Pacífica,,,,,46.0,,,,
2021.0,Central,Delincuentes comunes,Peor,,,37.0,Positiva,,,
2021.0,Oriental,,,,,29.0,,,,
2021.0,Bogotá,,,,,30.0,,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,38.0,Neutra,,,
2021.0,Oriental,,,,,57.0,,,,
2021.0,Amazonia,,,,,34.0,,,,
2021.0,Oriental,,,,,34.0,,,,
2021.0,Amazonia,Crimen organizado,Mejor,,,40.0,Positiva,,,Derecha
2021.0,Oriental,,,,,32.0,,,,
2021.0,Amazonia,,,,,40.0,,,,
2021.0,Oriental,,,,,44.0,,,,
2021.0,Central,Delincuentes comunes,Igual,,,21.0,Negativa,,,
2021.0,Oriental,,,,,37.0,,,,
2021.0,Pacífica,,,,,18.0,,,,
2021.0,Oriental,,,,,32.0,,,,
2021.0,Atlántica,,,,,36.0,,,,
2021.0,Oriental,Delincuentes comunes,Igual,,,37.0,Neutra,,,
2021.0,Atlántica,,,,,62.0,,,,
2021.0,Oriental,Crimen organizado,Peor,,,49.0,Neutra,,,Izquierda
2021.0,Oriental,Crimen organizado,Mejor,,,25.0,,,,Derecha
2021.0,Pacífica,Crimen organizado,Mejor,,,37.0,Positiva,,,Derecha
2021.0,Amazonia,,,,,45.0,,,,
2021.0,Bogotá,,,,,28.0,,,,
2021.0,Central,Delincuentes comunes,Peor,,,25.0,Neutra,,,
2021.0,Amazonia,,,,,55.0,,,,
2021.0,Oriental,,,,,26.0,,,,
2021.0,Oriental,,,,,42.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,22.0,Negativa,,,Izquierda
2021.0,Bogotá,Delincuentes comunes,Peor,,,53.0,Neutra,,,Izquierda
2021.0,Pacífica,Delincuentes comunes,Igual,,,51.0,Positiva,,,Derecha
2021.0,Atlántica,Delincuentes comunes,Peor,,,25.0,Neutra,,,Centro derecha
2021.0,Atlántica,Delincuentes comunes,Peor,,,52.0,Neutra,,,Izquierda
2021.0,Atlántica,Guerrillas,Peor,,,49.0,Positiva,,,Izquierda
2021.0,Atlántica,Guerrillas,Peor,,,20.0,Neutra,,,Derecha
2021.0,Bogotá,Guerrillas,Peor,,,59.0,Positiva,,,Centro izquierda
2021.0,Atlántica,Delincuentes comunes,Peor,,,37.0,Positiva,,,
2021.0,Atlántica,,,,,44.0,,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,42.0,Neutra,,,
2021.0,Pacífica,,,,,40.0,,,,
2021.0,Atlántica,,,,,31.0,,,,
2021.0,Atlántica,,,,,48.0,,,,
2021.0,Oriental,,,,,36.0,,,,
2021.0,Bogotá,,,,,69.0,,,,
2021.0,Central,,,,,50.0,,,,
2021.0,Atlántica,Delincuentes comunes,Mejor,,,38.0,Positiva,,,Izquierda
2021.0,Pacífica,Crimen organizado,Peor,,,31.0,Negativa,,,Izquierda
2021.0,Bogotá,,,,,75.0,,,,
2021.0,Bogotá,Crimen organizado,Peor,,,26.0,Neutra,,,Derecha
2021.0,Oriental,,,,,25.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,24.0,Neutra,,,Centro derecha
2021.0,Pacífica,,,,,56.0,,,,
2021.0,Bogotá,Crimen organizado,Peor,,,45.0,Negativa,,,Derecha
2021.0,Pacífica,,,,,40.0,,,,
2021.0,Atlántica,,,,,42.0,,,,
2021.0,Atlántica,Delincuentes comunes,Igual,,,50.0,Negativa,,,
